Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, Roll, LDR 
2313943905,47,93,56,237,108,89,90,644
2313943904,44,92,62,235,108,88,90,670
2313943905,41,98,61,235,108,88,90,641
2313943904,48,97,59,233,108,88,90,569
2313943905,43,98,66,232,108,88,90,656
2313943912,46,95,58,234,109,88,90,554
2313943913,42,94,62,236,109,89,90,641
2313943904,44,97,66,237,109,88,90,663
2313943905,44,97,64,238,109,88,89,666
2313943904,40,89,51,231,109,88,90,1371
2313943905,38,80,54,234,109,88,90,1381
2313943904,37,87,54,235,109,89,90,2135
2313943905,37,89,52,232,109,89,90,2077
2313943904,38,90,53,236,109,89,90,2159
2313943905,39,89,54,236,109,89,90,2149
2313943912,39,89,49,233,109,88,90,2190
2313941865,0,0,0,238,90,90,90,1989
2313941864,3,8,4,233,90,90,90,2075
2313941865,5,7,5,232,90,90,90,1983
2313941864,5,7,5,232,90,90,90,2027
